Hearing Science: Our Ears May Be Able to Tell Cancer Cells from Healthy Ones and Detect Space Weather (Scientific American),http://news.feedzilla.com/en_us/stories/science/424048869?client_source=api&format=json,"Ears are such terrific pattern finders that scientists are using audio data to
detect cancer cells and particles from space


-- Read more on ScientificAmerican.com

"
Massive Exoplanet Evolved In Extreme 4-Star System,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/rSDJkOg6mlQ/massive-exoplanet-evolved-in-extreme-4-star-system,"astroengine writes ""For only the second time, an exoplanet living with an expansive family of four stars has been revealed. The exoplanet, which is a huge gaseous world 10 times the mass of Jupiter, was previously known to occupy a 3-star system, but a fourth star (a red dwarf) has now been found, revealing quadruple star systems possessing planets are more common than we thought. ""About four percent of solar-type stars are in quadruple systems, which is up from previous estimates because observational techniques are steadily improving,"" said co-author Andrei Tokovinin of the Cerro Tololo Inter-American Observatory in Chile. The whole 4-star family is collectively known as 30 Ari, located some 136 light-years from Earth &mdash; in our interstellar backyard. The exoplanet orbits the primary star of the system once every 335 days. The primary star has a new-found binary partner (which the exoplanet does not orbit) and this pair are locked in an orbital dance with a secondary binary, separated by a distance of 1,670 astronomical unit (AU), where 1 AU is the average distance between the Earth and sun.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Massive+Exoplanet+Evolved+In+Extreme+4-Star+System%3A+http%3A%2F%2Fbit.ly%2F1wWvYeG""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F03%2F04%2F2256252%2Fmassive-exoplanet-evolved-in-extreme-4-star-system%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/03/04/2256252/massive-exoplanet-evolved-in-extreme-4-star-system?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://science.slashdot.org/story/15/03/04/2256252/massive-exoplanet-evolved-in-extreme-4-star-system?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7054237&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/rSDJkOg6mlQ"" height=""1"" width=""1"" alt=""""/>"
Meet the Strati: A 3D Printed Electric Car (alternative-energy-news.info),http://news.feedzilla.com/en_us/stories/science/423971800?client_source=api&format=json,"Electric Cars | Future Technology | Transportation

3D Printing is all the rage these days, so it's no surprise someone has
printed a complete and functional electric automobile, appropriately named the
Strati (Italian for ""layers""). 18 months ago, Phoenix Arizona company Local
Motors teamed up with Cincinnati Incorporated to develop a neighborhood
electric car. The project is open source; members are encouraged […]

"
Microsoft Convinced That Windows 10 Will Be Its Smartphone Breakthrough,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/lTZs3UIXp04/microsoft-convinced-that-windows-10-will-be-its-smartphone-breakthrough,"jfruh (300774) writes ""At the Mobile World Congress in Barcelona, handset manufacturers are making all the right noises about support for Windows 10, which will run on both ARM- and Intel-based phones and provide an experience very much like the desktop. But much of the same buzz surrounded Windows 8 and Windows 7 Phone. In fact, Microsoft has tried and repeatedly failed to take the mobile space by storm.""<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Microsoft+Convinced+That+Windows+10+Will+Be+Its+Smartphone+Breakthrough%3A+http%3A%2F%2Fbit.ly%2F1wVDDdi""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fmobile.slashdot.org%2Fstory%2F15%2F03%2F04%2F1746209%2Fmicrosoft-convinced-that-windows-10-will-be-its-smartphone-breakthrough%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://mobile.slashdot.org/story/15/03/04/1746209/microsoft-convinced-that-windows-10-will-be-its-smartphone-breakthrough?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://mobile.slashdot.org/story/15/03/04/1746209/microsoft-convinced-that-windows-10-will-be-its-smartphone-breakthrough?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053239&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/lTZs3UIXp04"" height=""1"" width=""1"" alt=""""/>"
NASA Ames Reproduces the Building Blocks of Life In Laboratory ,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/YAOV8VyO7wI/nasa-ames-reproduces-the-building-blocks-of-life-in-laboratory,"hypnosec writes ""Scientists at NASA's Ames Research Center have reproduced non-biologically the three basic components of life found in both DNA and RNA &mdash; uracil, cytosine, and thymine. For their experiment scientists deposited an ice sample containing pyrimidine &mdash; a ring-shaped molecule made up of carbon and nitrogen &mdash; on a cold substrate in a chamber with space-like conditions such as very high vacuum, extremely low temperatures, and irradiated the sample with high-energy ultraviolet photons from a hydrogen lamp. Researchers discovered that such an arrangement produces these essential ingredients of life. ""We have demonstrated for the first time that we can make uracil, cytosine, and thymine, all three components of RNA and DNA, non-biologically in a laboratory under conditions found in space,"" said Michel Nuevo, research scientist at NASA's Ames Research Center, Moffett Field, California. ""We are showing that these laboratory processes, which simulate conditions in outer space, can make several fundamental building blocks used by living organisms on Earth.""<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=NASA+Ames+Reproduces+the+Building+Blocks+of+Life+In+Laboratory+%3A+http%3A%2F%2Fbit.ly%2F18S7M84""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F03%2F04%2F2314233%2Fnasa-ames-reproduces-the-building-blocks-of-life-in-laboratory%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/03/04/2314233/nasa-ames-reproduces-the-building-blocks-of-life-in-laboratory?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://science.slashdot.org/story/15/03/04/2314233/nasa-ames-reproduces-the-building-blocks-of-life-in-laboratory?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7054287&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/YAOV8VyO7wI"" height=""1"" width=""1"" alt=""""/>"
New Wolfenstein Game Announced: The Old Blood,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/K6BpCgX_B1c/new-wolfenstein-game-announced-the-old-blood,"jones_supa writes Last year, Wolfenstein: The New Order was well received, and showed that old school shooters still can do extremely well in the current market and actually be a lot of fun. Now, Bethesda Softworks is already announcing a standalone prequel to The New Order, called Wolfenstein: The Old Blood. It's back to the roots for B.J. Blazkowicz, and you embark on a perilous journey ""deep within Bavaria"", with the goal of infiltrating the Castle Wolfenstein. Just like last years' game, The Old Blood has been developed by Swedish company MachineGames on the same platform including id Tech 5 engine. The release date is May 5th and the game will be available for PC, Xbox One, and PlayStation 4.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=New+Wolfenstein+Game+Announced%3A+The+Old+Blood%3A+http%3A%2F%2Fbit.ly%2F1M6DXNs""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fgames.slashdot.org%2Fstory%2F15%2F03%2F04%2F2038208%2Fnew-wolfenstein-game-announced-the-old-blood%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://games.slashdot.org/story/15/03/04/2038208/new-wolfenstein-game-announced-the-old-blood?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://games.slashdot.org/story/15/03/04/2038208/new-wolfenstein-game-announced-the-old-blood?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053877&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/K6BpCgX_B1c"" height=""1"" width=""1"" alt=""""/>"
New Zealand Spied On Nearly Two Dozen Pacific Countries,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/4MRxfO1HuVI/new-zealand-spied-on-nearly-two-dozen-pacific-countries,"An anonymous reader writes New documents from Edward Snowden indicate New Zealand undertook ""full take"" interception of communications from Pacific nations and forwarded the data to the NSA. The data, collected by New Zealand's Government Communications Security Bureau, was then fed into the NSA's XKeyscore search engine to allow analysts to trawl for intelligence. The New Zealand link helped flesh out the NSA's ambitions to intercept communications globally.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=New+Zealand+Spied+On+Nearly+Two+Dozen+Pacific+Countries%3A+http%3A%2F%2Fbit.ly%2F1ENReu1""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fyro.slashdot.org%2Fstory%2F15%2F03%2F04%2F1748223%2Fnew-zealand-spied-on-nearly-two-dozen-pacific-countries%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://yro.slashdot.org/story/15/03/04/1748223/new-zealand-spied-on-nearly-two-dozen-pacific-countries?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://yro.slashdot.org/story/15/03/04/1748223/new-zealand-spied-on-nearly-two-dozen-pacific-countries?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053251&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/4MRxfO1HuVI"" height=""1"" width=""1"" alt=""""/>"
Obesity is associated with brain's neurotransmitters (Eurekalert),http://news.feedzilla.com/en_us/stories/science/424009845?client_source=api&format=json,"Researchers at Aalto University and University of Turku have revealed how
obesity is associated with altered opioid neurotransmission in the brain.New
research reveals how obesity is associated with altered functioning of brain's
opioid system, which is intimately involved in generating pleasurable
sensations.  Researchers found that obesity was associated with significantly
lowered number of opioid receptors in the brain. However, no changes were
observed in the dopamine neurotransmitter system, which regulates motivational
aspects of eating.

"
"Oldest human fossil adds 400,000 years to our history (CBS News)",http://news.feedzilla.com/en_us/stories/science/424085279?client_source=api&format=json,"Discovered in Ethiopia, the find predates other fossils of our genus, Homo,
and helps redraw science's view of man's evolution

"
Paul Allen Helps Find Sunken Japanese WWII Battleship Musashi Off Philippines,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/6leOYgwcSKU/paul-allen-helps-find-sunken-japanese-wwii-battleship-musashi-off-philippines,"mpicpp writes with news about the discovery of a sunken Japanese battleship by Paul Allen and a team of researchers. Microsoft co-founder and philanthropist Paul Allen and his research team have found a massive Japanese World War II battleship off the Philippines near where it sank more than 70 years ago, his representatives said Wednesday. The apparent discovery of the wreckage of the Musashi, one of the largest battleships in history, comes as the world marks the 70th anniversary of the war's end. Allen and the team aboard his superyacht M/Y Octopus found the ship on Sunday, more than eight years after their search began, Allen's publicity agency Edelman said in a statement. Detailed images captured by a high-definition camera mounted on the underwater probe confirmed the wreckage as that of the Musashi, it said. Japanese experts said they were eager to study the images to try to confirm the ship's identity. Allen's team found the battleship in the Sibuyan Sea, using an autonomous underwater vehicle in its third dive after narrowing down the search area using detailed undersea topographical data and other locator devices, the statement said. ""The Musashi is truly an engineering marvel and as an engineer at heart, I have a deep appreciation for the technology and effort that went into its construction,"" Allen said.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Paul+Allen+Helps+Find+Sunken+Japanese+WWII+Battleship+Musashi+Off+Philippines%3A+http%3A%2F%2Fbit.ly%2F1w4BnW3""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F03%2F04%2F2047226%2Fpaul-allen-helps-find-sunken-japanese-wwii-battleship-musashi-off-philippines%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/03/04/2047226/paul-allen-helps-find-sunken-japanese-wwii-battleship-musashi-off-philippines?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://tech.slashdot.org/story/15/03/04/2047226/paul-allen-helps-find-sunken-japanese-wwii-battleship-musashi-off-philippines?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7053905&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/6leOYgwcSKU"" height=""1"" width=""1"" alt=""""/>"
